isin,date,pOpen,pClose
ca135087tz75,1/9/2020,110.09,110.09
ca135087tz75,1/8/2020,110.22,110.2
ca135087tz75,1/7/2020,110.2,110.23
ca135087tz75,1/6/2020,110.29,110.27
ca135087tz75,1/3/2020,110.27,110.27
ca135087tz75,1/2/2020,110.33,110.28
ca135087k452,1/15/2020,99.25,99.28
ca135087k452,1/14/2020,99.23,99.25
ca135087k452,1/13/2020,99.25,99.24
ca135087k452,1/10/2020,99.28,99.25
ca135087k452,1/9/2020,99.25,99.27
ca135087k452,1/8/2020,99.34,99.32
ca135087k452,1/7/2020,99.3,99.34
ca135087k452,1/6/2020,99.36,99.36
ca135087k452,1/3/2020,99.31,99.31
ca135087k452,1/2/2020,99.19,99.27
ca135087zu15,1/15/2020,102.5,102.51
ca135087zu15,1/14/2020,102.45,102.47
ca135087zu15,1/13/2020,102.48,102.46
ca135087zu15,1/10/2020,102.52,102.52
ca135087zu15,1/9/2020,102.52,102.52
ca135087zu15,1/8/2020,102.59,102.58
ca135087zu15,1/7/2020,102.57,102.59
ca135087zu15,1/6/2020,102.64,102.62
ca135087zu15,1/3/2020,102.55,102.59
ca135087zu15,1/2/2020,102.59,102.53
